previous_text,current_text,emotion,context_type
@haikubirdie If only  I may make one out of dental floss later.,"@Xantiriad the music in the trailer was terrible imo, cheesy handbag house. I was expecting some dnb or hard house",hate,emotion_shift
at panera for lunch  byyy myself  aww,@LouisPagan @Raul_Ramos Txs so much for #followfriday...i have been so MIA recently...work is killing me! Hope you r doing funtastic,hate,emotion_shift
@marychapman awwww  bew! you wont be here at all this summer?,@bjamesmusic have a safe ride up the coast. Don't be going 90 even though you can.  when its windy just smile cuz u know u have it better.,neutral,emotion_shift
@veronica78 Oh noooo that sucks  Did you reschedule for another show?,i dont wanna do this anymore! but the couch is jus sittin in the middle of the floor. do i really HAVE to finish?,hate,emotion_shift
@dnbchik ohhh that cant be very fun    but hell you manned it up!!   looks like you got some shit done today!!,It's raining and I'm outside without an umbrella.,worry,emotion_shift
MY GOSHHH :3 A NEW FOLLOWER  hi there! i won't rape you! i lie. &gt;:],http://twitpic.com/67nxe - Yeah..I'm bored XD I pic up this photo when I still have my guitar..today my mum steam me it  I miss Nameless..,empty,emotion_shift
@CinnamonCloud well you'll ether have to buy the DVD or wailt till july to see the Secret Episode!!   Episode 13!,"@staceyclarkin More than welcome...would love to do more physically, but family life doesn't allow",worry,emotion_shift
@gregjames will you be posting a pic of you H suit?? Pretty please?,@FrazJ i wish we had sun lollies for me to get addicted  what flavour?,neutral,emotion_shift
My cucumber has gone limp,@BraeScotland May be back later...hope you have a good day  Byeeee xxx,neutral,emotion_shift
"I so want to be a part of Windows Clubhouse, but my WL Spaces blog is random, and not the place where I share Windows stuff",@librariansti it's like the library equivalent of &quot;it's 5 o'clock somewhere.&quot; someone else in on the ref desk somewhere,empty,emotion_shift
At school. Blagh. Yay I'm getting the IPhone in August!!,@eboogiee smh Your whin with that comment,anger,emotion_shift
is off 2 bed. gon force the sandman 2 com do wot he do since it dont look like there's gon be any partyin 2nyt,Gave my mommy her Mother's Day present. Tickets to Aerosmith (her favorite band everr.) Yay for a good reaction.,love,emotion_shift
i'm searching followers,Happy Mother's Day to all the mothers,love,emotion_shift
"@GiangcK: oï¿½i, ph?i 'ru' cho bï¿½ ï¿½ ng?, tr??c khi b? th?y cï¿½i r?ng trï¿½i cï¿½y nï¿½y, ?ï¿½i mua m?i th? 1 kg ?? ?n thï¿½ ch?t",@yojibee haha  I need to get in better shape first.. I have cageball on thursdays == me dead on sofa the whole evening,love,emotion_shift
@catticho diego? i know lo ame a jack,"ahahah with sandy, bekz, erin and derrian",neutral,emotion_shift
"@yvetterdz84 nah, he won't  but I will sit here and enjoy the view :-P",@wendywings cute   Time for a twitpic ;),happiness,emotion_shift
Oh..I'm so borin'.. why not play the computer?? My mom's say: because your makin' task..!!,Wonders if I'm d only 1 dat n church sumtime nt knowng certain sungs. Seems like erbdy knows it but u? Quickly feel bad cnt sing along .,worry,emotion_shift
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",@Aerinea ugh. it sounds like a busted cable box then  what time zone are you in?,worry,emotion_shift
@kyoisorange ok ermm I'll meet you in the gym at half four then,hoping that one day i will be able to go on dates with my 26 year old boyfriend without his parents...,love,emotion_shift
"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!",Fallen in love with enter shikari again. Might go for a walk with the lady later. @work now though,love,emotion_shift
@enslaved2564 me too,@wolfofmibu   I need a wardrobe intervention,empty,emotion_shift
@OhSweetNibblets ok thanks  do you like my new pic? http://twitpic.com/4jewc,getted crunk of budweiser with the fam bam,fun,emotion_shift
@memphianmallory Too traumatic to even discuss and none of yall are here!!! Everyone has left for the weekend.,@Natalija been there  sucks like hell.,boredom,emotion_shift
"@_everaldo on my MacBook I run Linux with Parallels and on my iMac I use VMware Fusion and both are great, especially in &quot;Unity&quot;-mode.",@mann95 nooooo  who is it? I'm gonna beat them up! Unless it's someone important.. *thinks of new name*,surprise,emotion_shift
I'm likable after all HAHAHAHAHAHAHA! Still over the moon,@juicy2009 &amp; I got too much work to do,hate,emotion_shift
Someone stole my new laptop at the airport. haven't even used it. Guess the US economy is breeding a new set of &quot;opportinists&quot;,"@Jason_Manford oh, i'm so sorry, i didn't know  hope you're well x",surprise,emotion_shift
@seschloss No mine looks the same.,"@BrianMcnugget are you getting my messages or do you have to add me to recieve them, soz I'm new to this",worry,emotion_shift
has a saw thumb from playing Virtua Tennis...,"is slowly crunching the reality that june is fast approaching. in other words, classes again, and another year will be added to my age.",worry,emotion_shift
@Padmasree So are you going to watch Star trek or Wolverine..? I bet you are going to watch both  Right?,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness,emotion_shift
"The Gray Hat Python book reminded me how many security tools are python version specific, which is a pain if you need to use all of them",why do we even live on this earth ?? i wanna live on mars :|,enthusiasm,emotion_shift
"@RussellBfan90 ah its getting there  still a fair bit to go, but it's coming together fairly well! aw  where are you from?",At minibar... listening to politics  maybe some tech starups soon?,neutral,emotion_shift
i really wanted to go to surfers today,#musicmonday Nicest Thing from Kate Nash,relief,emotion_shift
waubonsie lost  they're out. i'm soo pissed,twittering after 2 days!,relief,emotion_shift
"@capitaln Um...no  We will most likely be inside a lot, maybe the skirt will work!",@shaunduke That sounds like a good compromise.,relief,emotion_shift
@VRadio if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP,responding to more questions at Thou Shall Blog! I appreciate this community.,enthusiasm,emotion_shift
"@sarah_connors 1999 called, they want their saying back. Live in the NOW #pens  haha",today was boring...harry potter ftw,boredom,emotion_shift
Good morning Sunshine   Tiime for $chooooL ! lol . BBL`,"@teamwinnipeg  Gerry, THANK YOU for following me!..help spread the news...further...I think this will be cool...thank u thank u thank u!",happiness,emotion_shift
@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l,"hey, i've just updated my twitter",neutral,emotion_shift
"@fionaaa_ YEEEAH :'D lmao, dentists aren't nice  espesh after they decide your too old for goodie bags with stickers &amp; awesome toothpaste",@EmmanuelGadenne  then maybe you should think of spending christmass there too,neutral,emotion_shift
@chuybe. you left me first .. and left your bed here for me to look at,"haircut as short as possible, even change color , new me",enthusiasm,emotion_shift
I beat 3 bosses in Castelvania,@marcosrivera08 I am very angry at this information Marcos!!!!!!,hate,emotion_shift
@MovieTFan: Well that is just completely lame. I'm sorry dude.,@death_by_spork we shall see,worry,emotion_shift
@RetroRewind awwww i cried...makes me cry  i love joey!,Bran!! Watch my video!!!!! please dont make me go stalker status 2nite  http://bit.ly/3Ysav,enthusiasm,emotion_shift
"Missed Justin on SNL! AGHHH! Just when I started to love him again, yes it's one of those weeks.",@_Cheshire_Cat_,empty,emotion_shift
"just signed up..so, hello twitter world, here I am",@fotogypc What kind of help do you need with Machine embroidery?  I may bea able to help,relief,emotion_shift
@01theone Looking forward to following your journey on this endeavor - just subscribed to your blog,@MsDamn Happy mothers day to you beautiful!,love,emotion_shift
"Woe, it's definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches 'til you reach your seat",at school again  its boring and these people are playing country and it sucks !!!!XD,enthusiasm,emotion_shift
"the downside of getting TDL 3 days early is that i won't have time to read it til next week anyway!  but still, hurrah *clutches it close*",@avenue_a The rocky kind! With little rockpools &amp; octopi &amp; shells &amp; stuff. Now I want to be at the beach. Its the perfect overcast day.,happiness,emotion_shift
I'm really excited that I'm a Queen Bee on the Power Mom 50 List  I feel really REALLY honored. #nielsenpowermoms,So freaking tired. I want my sleep pattern to be normal,hate,emotion_shift
"@JujuDeRoussie come overhere then, the Dutch don't dub  might go in an hour #BringTaraBack",#todo Cleaning the Apartment - again - who keeps making this mess? oh yeah .. me. $10 + hug for the person to help come clean,boredom,emotion_shift
wut do i do now????,Signing out for the night - have a good Sunday night all,fun,emotion_shift
@joshcoop Absolutely!  When we hit bottom there is only one way to go.,"too tired, i canï¿½t stay awake..but i must finish work for sunday",sadness,emotion_shift
Can't even tell you how much this hair dresser is pissssssing me off she has no clue wtf I'm asking her to do..so I'm expecting the worst,"@ RyanSeacrest : hi there might be a problem as it says no stream online, wat's not right?",worry,emotion_shift
